{'batch_size': 128, 'prefix_filter': None, 'max_length': 15, 'epoch_num': 5000, 'try_one_batch': False, 'learning_rate': 0.001, 'device': 'cuda', 'filename': '../data/rus.txt', 'train_size': 0.8, 'embedding_size': 256, 'hidden_size': 256, 'src_vocab_size': 4000, 'tgt_vocab_size': 4000}
{'val_loss': 1.7327548265457153, 'train_loss': 0.4891153872013092, 'bleu_score': 0.18245432726507038}
{'val_loss': 1.7327302694320679, 'train_loss': 0.4894181191921234, 'bleu_score': 0.21342611086101287}
{'val_loss': 1.7327094078063965, 'train_loss': 0.48933932185173035, 'bleu_score': 0.1299369544481707}
{'val_loss': 1.7327239513397217, 'train_loss': 0.4898294508457184, 'bleu_score': 0.1623575208154579}
{'val_loss': 1.7326960563659668, 'train_loss': 0.48903200030326843, 'bleu_score': 0.2122365364548034}
{'val_loss': 1.7326762676239014, 'train_loss': 0.4890907406806946, 'bleu_score': 0.21238368072690286}
{'val_loss': 1.7327059507369995, 'train_loss': 0.4892676770687103, 'bleu_score': 0.20505722086400166}
{'val_loss': 1.7327288389205933, 'train_loss': 0.4891206920146942, 'bleu_score': 0.2387588237381697}
{'val_loss': 1.7327263355255127, 'train_loss': 0.48977556824684143, 'bleu_score': 0.2001023331218671}
{'val_loss': 1.732732892036438, 'train_loss': 0.4892396032810211, 'bleu_score': 0.18929630521388352}
{'val_loss': 1.7326908111572266, 'train_loss': 0.48929542303085327, 'bleu_score': 0.18270556280465317}
{'val_loss': 1.732736587524414, 'train_loss': 0.4894702732563019, 'bleu_score': 0.25689002736470057}
{'val_loss': 1.7327473163604736, 'train_loss': 0.4896373748779297, 'bleu_score': 0.20185347151662464}
{'val_loss': 1.7327226400375366, 'train_loss': 0.48932990431785583, 'bleu_score': 0.1909136728282043}
{'val_loss': 1.7326935529708862, 'train_loss': 0.4891066551208496, 'bleu_score': 0.21790237233629106}
{'val_loss': 1.7326565980911255, 'train_loss': 0.48917144536972046, 'bleu_score': 0.1911989542366683}
{'val_loss': 1.7326741218566895, 'train_loss': 0.48960167169570923, 'bleu_score': 0.1640085714163046}
{'val_loss': 1.7326818704605103, 'train_loss': 0.48948192596435547, 'bleu_score': 0.19373122637019147}
{'val_loss': 1.7327094078063965, 'train_loss': 0.48948344588279724, 'bleu_score': 0.1576061845705526}
{'val_loss': 1.7326772212982178, 'train_loss': 0.48905763030052185, 'bleu_score': 0.160807584976516}
{'val_loss': 1.7327289581298828, 'train_loss': 0.489530086517334, 'bleu_score': 0.20348375573078764}
{'val_loss': 1.7326791286468506, 'train_loss': 0.48929455876350403, 'bleu_score': 0.20331681183542533}
{'val_loss': 1.7326669692993164, 'train_loss': 0.48930034041404724, 'bleu_score': 0.1744216440647826}
{'val_loss': 1.7327072620391846, 'train_loss': 0.48976171016693115, 'bleu_score': 0.18605765967928975}
{'val_loss': 1.7326422929763794, 'train_loss': 0.48950713872909546, 'bleu_score': 0.17342429922546204}
{'val_loss': 1.7326215505599976, 'train_loss': 0.48947006464004517, 'bleu_score': 0.21969039715580674}
{'val_loss': 1.7326644659042358, 'train_loss': 0.4891799986362457, 'bleu_score': 0.20095810794384644}
{'val_loss': 1.7326080799102783, 'train_loss': 0.4890420734882355, 'bleu_score': 0.220005955566785}
{'val_loss': 1.7326453924179077, 'train_loss': 0.48928263783454895, 'bleu_score': 0.19754258171378475}
{'val_loss': 1.7326397895812988, 'train_loss': 0.48897427320480347, 'bleu_score': 0.2141732222126932}
{'val_loss': 1.7326231002807617, 'train_loss': 0.48950740694999695, 'bleu_score': 0.1856691552548967}
{'val_loss': 1.7326899766921997, 'train_loss': 0.48975759744644165, 'bleu_score': 0.1867186188355679}
{'val_loss': 1.7327196598052979, 'train_loss': 0.4892570376396179, 'bleu_score': 0.2185483625614241}
{'val_loss': 1.7327229976654053, 'train_loss': 0.4896772503852844, 'bleu_score': 0.20807919997878888}
{'val_loss': 1.7326550483703613, 'train_loss': 0.48930448293685913, 'bleu_score': 0.18351631952455416}
{'val_loss': 1.7327159643173218, 'train_loss': 0.4890773296356201, 'bleu_score': 0.18308353836470087}
{'val_loss': 1.7326853275299072, 'train_loss': 0.48914557695388794, 'bleu_score': 0.19532464310036426}
{'val_loss': 1.7326563596725464, 'train_loss': 0.48925116658210754, 'bleu_score': 0.2114400592045415}
{'val_loss': 1.7326687574386597, 'train_loss': 0.4889538586139679, 'bleu_score': 0.22005691460183083}
{'val_loss': 1.7327353954315186, 'train_loss': 0.4893746078014374, 'bleu_score': 0.19805716965635634}
{'val_loss': 1.7326934337615967, 'train_loss': 0.48982855677604675, 'bleu_score': 0.23192806692718093}
{'val_loss': 1.7326984405517578, 'train_loss': 0.48905953764915466, 'bleu_score': 0.229620253972672}
